#SampleID	Diarrhea_Presence	Treatment	Collection_Day	Concentration	260_280_Ratio
#q2:types	categorical	categorical	numeric	numeric	numeric
 139D3	No	Ruminal_Fluid	3	20.4	1.94
147D3	No	Ruminal_Fluid	3	12.7	1.98
159D3	No	Ruminal_Fluid	3	16.5	2.1
162D3	No	Ruminal_Fluid	3	83.8	1.86
174D3	No	Ruminal_Fluid	3	19.9	2.03
214D3	No	Ruminal_Fluid	3	9	1.78
236D3	No	Ruminal_Fluid	3	5.4	1.16
238D3	No	Ruminal_Fluid	3	4	0.88
239D3	No	Ruminal_Fluid	3	54.1	1.76
240D3	No	Ruminal_Fluid	3	20.2	2.1
241D3	No	Ruminal_Fluid	3	49.8	1.95
245D3	No	Ruminal_Fluid	3	14.4	1.97
266D3	No	Ruminal_Fluid	3	33.7	1.97
269D3	No	Ruminal_Fluid	3	30.6	2.05
270D3	No	Ruminal_Fluid	3	122.4	1.9
139D7	No	Ruminal_Fluid	7	6.8	1.92
147D7	Yes	Ruminal_Fluid	7	13.9	2.01
162D7	No	Ruminal_Fluid	7	44	1.93
174D7	No	Ruminal_Fluid	7	25.2	1.92
214D7	Yes	Ruminal_Fluid	7	22.5	1.55
236D7	Yes	Ruminal_Fluid	7	9.8	2.17
238D7	No	Ruminal_Fluid	7	4.1	2.15
239D7	No	Ruminal_Fluid	7	11.2	2.16
240D7	Yes	Ruminal_Fluid	7	7	3.23
241D7	No	Ruminal_Fluid	7	11.9	2.31
245D7	No	Ruminal_Fluid	7	22.9	2.07
266D7	Yes	Ruminal_Fluid	7	10	2.19
269D7	No	Ruminal_Fluid	7	24	1.99
270D7	No	Ruminal_Fluid	7	6.4	2.23
139D14	Yes	Ruminal_Fluid	14	61.2	1.92
147D14	Yes	Ruminal_Fluid	14	19.7	2.11
162D14	Yes	Ruminal_Fluid	14	7.3	1.97
174D14	Yes	Ruminal_Fluid	14	20.8	2.27
214D14	No	Ruminal_Fluid	14	4	3.69
238D14	No	Ruminal_Fluid	14	20.9	2.03
240D14	No	Ruminal_Fluid	14	15.9	2.15
245D14	No	Ruminal_Fluid	14	14.6	2.04
266D14	Yes	Ruminal_Fluid	14	39.7	1.94
269D14	Yes	Ruminal_Fluid	14	71.1	1.9
139D21	Yes	Ruminal_Fluid	21	23.6	1.95
147D21	Yes	Ruminal_Fluid	21	11.4	2.3
162D21	Yes	Ruminal_Fluid	21	9.3	1.98
174D21	Yes	Ruminal_Fluid	21	6.5	2.02
214D21	Yes	Ruminal_Fluid	21	74.3	1.94
240D21	No	Ruminal_Fluid	21	6.4	2.7
266D21	Yes	Ruminal_Fluid	21	18.9	2.05
269D21	Yes	Ruminal_Fluid	21	10.3	2.14
140D3	No	Saline	3	3.6	2.42
142D3	No	Saline	3	11.5	2.17
148D3	No	Saline	3	17.5	2.19
161D3	No	Saline	3	25.4	2.18
175D3	No	Saline	3	12.8	2.11
176D3	No	Saline	3	33.1	1.94
179D3	No	Saline	3	24.1	1.97
235D3	No	Saline	3	19	1.5
237D3	No	Saline	3	75.3	1.76
242D3	No	Saline	3	12.2	2.08
243D3	No	Saline	3	31.3	1.95
246D3	No	Saline	3	17.2	1.91
247D3	No	Saline	3	31.7	2.02
267D3	No	Saline	3	8.5	2.45
268D3	No	Saline	3	1.8	-7.92
140D7	Yes	Saline	7	3.1	2.61
142D7	Yes	Saline	7	5.9	2.11
148D7	No	Saline	7	32.1	1.89
161D7	Yes	Saline	7	14.7	1.84
175D7	Yes	Saline	7	10.3	1.84
176D7	Yes	Saline	7	22.4	1.97
179D7	No	Saline	7	20.8	2.1
235D7	Yes	Saline	7	11.9	2.17
237D7	Yes	Saline	7	11.9	2.29
242D7	Yes	Saline	7	3.4	1.89
243D7	Yes	Saline	7	15.8	2.15
246D7	Yes	Saline	7	10.2	2.27
247D7	No	Saline	7	5.3	2.3
267D7	Yes	Saline	7	112.7	1.89
268D7	Yes	Saline	7	32.4	1.92
142D14	Yes	Saline	14	80.9	1.9
148D14	No	Saline	14	27.4	1.98
161D14	Yes	Saline	14	5.1	2.09
175D14	Yes	Saline	14	19.9	2.16
176D14	Yes	Saline	14	20.2	2.04
179D14	No	Saline	14	4.3	9.52
235D14	Yes	Saline	14	6.3	2.49
242D14	Yes	Saline	14	2.8	3.68
247D14	No	Saline	14	28.4	1.95
267D14	Yes	Saline	14	30.3	1.92
268D14	Yes	Saline	14	17.8	2
142D21	Yes	Saline	21	13.2	2.03
148D21	Yes	Saline	21	66.1	1.89
161D21	Yes	Saline	21	39.7	1.95
175D21	Yes	Saline	21	4.1	2.03
176D21	Yes	Saline	21	8.1	2.04
179D21	No	Saline	21	114.9	1.8
235D21	Yes	Saline	21	11.9	2.23
242D21	Yes	Saline	21	14.2	2.03
247D21	Yes	Saline	21	13.5	2
267D21	Yes	Saline	21	446.2	1.91
268D21	Yes	Saline	21	26.3	2.11
