kinnex,sample
m84132-combined-demux-from-fastq.0--12.fastq,RW1-1-t0.hifi.fastq
m84132-combined-demux-from-fastq.0--13.fastq,RW1-2-t0.hifi.fastq
m84132-combined-demux-from-fastq.0--14.fastq,RW1-3-t0.hifi.fastq
m84132-combined-demux-from-fastq.0--15.fastq,RW1-1-t21.hifi.fastq
m84132-combined-demux-from-fastq.0--16.fastq,RW1-2-t21.hifi.fastq
m84132-combined-demux-from-fastq.0--17.fastq,RW1-3-t21.hifi.fastq
m84132-combined-demux-from-fastq.0--18.fastq,RW1-1-t60.hifi.fastq
m84132-combined-demux-from-fastq.0--19.fastq,RW1-2-t60.hifi.fastq
m84132-combined-demux-from-fastq.1--12.fastq,RW1-3-t60.hifi.fastq
m84132-combined-demux-from-fastq.1--13.fastq,RW2-1-t21.hifi.fastq
m84132-combined-demux-from-fastq.1--14.fastq,RW2-2-t21.hifi.fastq
m84132-combined-demux-from-fastq.1--15.fastq,RW2-3-t21.hifi.fastq
m84132-combined-demux-from-fastq.1--16.fastq,RW2-1-t60.hifi.fastq
m84132-combined-demux-from-fastq.1--17.fastq,RW2-2-t60.hifi.fastq
m84132-combined-demux-from-fastq.1--18.fastq,RW2-3-t60.hifi.fastq
m84132-combined-demux-from-fastq.1--19.fastq,RW5-1-t21.hifi.fastq
m84132-combined-demux-from-fastq.2--12.fastq,RW5-2-t21.hifi.fastq
m84132-combined-demux-from-fastq.2--13.fastq,RW5-3-t21.hifi.fastq
m84132-combined-demux-from-fastq.2--14.fastq,RW5-1-t60.hifi.fastq
m84132-combined-demux-from-fastq.2--16.fastq,RW5-3-t60.hifi.fastq
m84132-combined-demux-from-fastq.2--17.fastq,RW8-1-t21.hifi.fastq
m84132-combined-demux-from-fastq.2--18.fastq,RW8-2-t21.hifi.fastq
m84132-combined-demux-from-fastq.2--19.fastq,RW8-3-t21.hifi.fastq
m84132-combined-demux-from-fastq.3--12.fastq,RW8-1-t60.hifi.fastq
m84132-combined-demux-from-fastq.3--13.fastq,RW8-2-t60.hifi.fastq
m84132-combined-demux-from-fastq.3--14.fastq,RW8-3-t60.hifi.fastq
m84132-combined-demux-from-fastq.7--17.fastq,Con6-060518-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.8--12.fastq,Con5-060518-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.8--13.fastq,Con5-070918-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.8--14.fastq,Con5-083018-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.8--17.fastq,Con3-061818-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.8--18.fastq,Con3-070618-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.8--19.fastq,Con3-081318-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--12.fastq,Con2-061818-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--13.fastq,Con2-070618-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--14.fastq,Con2-081318-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--15.fastq,Con1-051518-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--16.fastq,Con1-061818-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--17.fastq,Con1-070618-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--18.fastq,Con1-081318-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.9--19.fastq,4-1-073124-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.10--12.fastq,4-2-073124-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.10--13.fastq,4-1-090424-Caleb.hifi.fastq
m84132-combined-demux-from-fastq.10--14.fastq,4-2-090424-Caleb.hifi.fastq
