gene_name,EvC1,EvC2,C2vC1
ACTB,up,no significant difference,up
ACTG1,no significant difference,no significant difference,up
ACTG2,no significant difference,no significant difference,no significant difference
ACTN1,up,no significant difference,up
ACTN2,no significant difference,no significant difference,down
ACTN4,no significant difference,no significant difference,no significant difference
GTF2I,no significant difference,no significant difference,no significant difference
ILK,no significant difference,no significant difference,no significant difference
ITGA11,no significant difference,down,up
ITGA3,no significant difference,no significant difference,no significant difference
ITGA5,up,no significant difference,up
ITGA8,no significant difference,no significant difference,no significant difference
ITGB1,up,no significant difference,up
ITGB6,no significant difference,no significant difference,no significant difference
KRT14,no significant difference,no significant difference,no significant difference
KRT6B,no significant difference,no significant difference,no significant difference
LPXN,no significant difference,no significant difference,no significant difference
MYH9,up,no significant difference,up
PARVA,no significant difference,no significant difference,no significant difference
PDCD10,no significant difference,no significant difference,no significant difference
PLEC,up,no significant difference,no significant difference
PTK2,up,no significant difference,no significant difference
PTK2B,no significant difference,no significant difference,down
PXN,up,no significant difference,no significant difference
RSU1,up,no significant difference,up
SRC,up,no significant difference,up
TAFAZZIN,no significant difference,no significant difference,no significant difference
TGFB1I1,no significant difference,no significant difference,no significant difference
TLN1,no significant difference,no significant difference,no significant difference
TLN2,no significant difference,no significant difference,no significant difference
VCL,no significant difference,no significant difference,no significant difference
YAP1,no significant difference,no significant difference,no significant difference
